,filename,source_captions,target_captions,edit,real_filename,duration_s,seed
178,gen000_MIX.wav,"Arabic and Chinese strings playing a mysterious song, alongside drums and Chinese flutes.","Guitars playing a rock song, alongside drums and bass.",GENRE,MusicDelta_ChineseXinJing_MIX.wav,65.37,314159
469,gen001_MIX.wav,A recording of an old upbeat cool jazz song.,A recording of an old upbeat cool Arabic song.,GENRE,MusicDelta_ModalJazz_MIX.wav,103.779,314160
402,gen002_MIX.wav,"A grunge rock song of a man singing while an electric guitar, bass and drums are playing in the background.","A rap song of a man rapping while an electric guitar, bass and drums are playing in the background.",GENRE,MusicDelta_Grunge_MIX.wav,41.854,314161
101,gen003_MIX.wav,A recording of happy Chinese music.,A recording of happy grunge rock music.,GENRE,MusicDelta_ChineseChaoZhou_MIX.wav,56.668,314162
122,gen004_MIX.wav,"Chinese strings, flutes, and harp playing an epic dramatic song.","Strings, flutes, and harp playing an epic dramatic song.",GENRE,MusicDelta_ChineseDrama_MIX.wav,63.894,314163
618,gen005_MIX.wav,A recording of a cool metal song.,A recording of a cool movie soundtrack.,GENRE,MusicDelta_SpeedMetal_MIX.wav,36.008,314164
124,gen006_MIX.wav,A recording of Chinese instruments playing.,A recording of Hindu instruments playing.,GENRE,MusicDelta_ChineseDrama_MIX.wav,63.894,314165
264,gen007_MIX.wav,A recording of an upbeat disco song.,A recording of an upbeat techno song.,GENRE,MusicDelta_Disco_MIX.wav,124.78,314166
250,gen008_MIX.wav,"A woman is singing a country song with a guitar, bass and drums playing in the background.","A man is singing a rock song with a guitar, bass and drums playing in the background.",GENRE,MusicDelta_Country2_MIX.wav,17.455,314167
623,gen009_MIX.wav,"A metal song with an electric guitar, bass and drums playing.","A jazz song with a trumpet, bass and drums playing.",GENRE,MusicDelta_SpeedMetal_MIX.wav,36.008,314168
20,gen010_MIX.wav,A high quality recording of a rock band playing a happy rock song.,A high quality recording of a country band playing a happy country song.,GENRE,MusicDelta_Beatles_MIX.wav,36.374,314169
675,gen011_MIX.wav,A recording of a hard rock song.,A recording of a jazz song.,GENRE,MusicDelta_Zeppelin_MIX.wav,17.475,314170
160,gen012_MIX.wav,"Chinese strings, flutes, and harp playing a happy village Chinese song.","Arabic strings, flutes, and harp playing a happy village Arabic song.",GENRE,MusicDelta_ChineseJiangNan_MIX.wav,57.37,314171
120,gen013_MIX.wav,A recording of a dramatic epic Chinese piece.,A recording of upbeat pop music.,GENRE,MusicDelta_ChineseDrama_MIX.wav,63.894,314172
641,gen014_MIX.wav,"A jazz song with a saxophone, piano, bass and drums playing.","A metal song with a guitar, piano, bass and drums playing.",GENRE,MusicDelta_SwingJazz_MIX.wav,89.513,314173
323,gen015_MIX.wav,A recording of a slow cool jazz song.,A recording of a slow cool metal song.,GENRE,MusicDelta_FusionJazz_MIX.wav,110.986,314174
79,gen016_MIX.wav,A recording of a rock song.,A recording of a hip hop song.,GENRE,MusicDelta_Britpop_MIX.wav,36.789,314175
464,gen001_MIX.wav,A recording of an old upbeat cool jazz song.,A recording of an old upbeat cool country song.,GENRE,MusicDelta_ModalJazz_MIX.wav,103.779,314160
483,gen017_MIX.wav,A recording of an emotional classical music piece that fits weddings.,A recording of an emotional Chinese music piece that fits weddings.,GENRE,MusicDelta_Pachelbel_MIX.wav,302.788,314176
345,gen018_MIX.wav,A recording of an upbeat gospel song.,A recording of an upbeat techno song.,GENRE,MusicDelta_Gospel_MIX.wav,75.737,314177
26,gen019_MIX.wav,A recording of an upbeat rock song.,A recording of Arabic music.,GENRE,MusicDelta_Beatles_MIX.wav,36.374,314178
417,gen020_MIX.wav,"A rock song of a man singing while a guitar, bass and drums are playing in the background.","A death metal song of a man singing while a guitar, bass and drums are playing in the background.",GENRE,MusicDelta_Hendrix_MIX.wav,19.844,314179
573,gen021_MIX.wav,A recording of an old rock song.,A recording of an old country song.,GENRE,MusicDelta_Rockabilly_MIX.wav,25.949,314180
0,gen022_MIX.wav,A recording of a rock song.,A recording of a heavy metal song.,GENRE,MusicDelta_80sRock_MIX.wav,36.92,314181
165,gen023_MIX.wav,A high quality recording of Chinese instruments playing.,A high quality recording of an orchestra playing.,GENRE,MusicDelta_ChineseJiangNan_MIX.wav,57.37,314182
